,0,1,2,3
AL,23.210608695652173,23.930807692307692,22.484912891986063,24.95972602739726
ACD,3.084,3.155846153846154,3.0140766550522646,3.2034246575342467
WTW,11.925478260869566,12.110961538461538,11.667247386759582,12.291780821917808
K1,43.98907826086957,42.488173076923076,45.783658536585364,40.366027397260275
K2,44.86024347826087,43.313788461538465,46.85020905923345,41.32965753424658
Correto Count,412.0,375.0,193.0,102.0
